"x","mx_lost_none_to_lost_mom","se_mx_lost_none_to_lost_mom","mx_lost_none_to_lost_dad","se_mx_lost_none_to_lost_dad","mx_lost_none_to_lost_both","se_mx_lost_none_to_lost_both","mx_lost_dad_to_lost_both","se_mx_lost_dad_to_lost_both","mx_lost_mom_to_lost_both","se_mx_lost_mom_to_lost_both","sex","race"
"[25,30)",0.00362615497258623,0.000888120808274754,0.00961524702574747,0.00136124269530489,0.000238663974987159,0.000153072061406267,0.0131610178626577,0.00356437653072118,0.0139762346604024,0.00548413601017079,"female","non-hispanic black"
"[25,30)",0.00326973801124522,0.000891707456952544,0.00932888392969954,0.00160159057058075,0.000724372406739796,0.000492777199929102,0.00237761937089579,0.00199647064466155,0.0201665774488074,0.00675272991657638,"male","non-hispanic black"
"[25,30)",0.0036484401598158,0.000304068643888658,0.00768857364960991,0.000408153545305932,0.000207954187113674,6.73653950852303e-05,0.00662712586273779,0.00107283733313553,0.0159150212973319,0.00270839509314722,"female","non-hispanic white"
"[25,30)",0.00274574860099163,0.000274204555253534,0.00690634232020129,0.000375612650339127,4.84139615571216e-05,3.29089232761215e-05,0.00691100328620044,0.00124705485339334,0.01590419374534,0.0027819385949168,"male","non-hispanic white"
"[30,35)",0.00649397887628831,0.00104745588602704,0.0113289780064853,0.00126412609202085,0.000240008289497546,0.000177696924458215,0.0096028333592162,0.0030535114606373,0.0302421560764308,0.00817845655864643,"female","hispanic"
"[30,35)",0.0042641499494208,0.000889049268026011,0.00694270533098219,0.00109261344379507,0.000214052972382875,0.000224240622507266,0.00743922483267623,0.00302587147027106,0.0234039767398245,0.00713936422332373,"male","hispanic"
"[30,35)",0.00621485877430222,0.0011829596122046,0.0157621024379337,0.00224484006191299,0.000882594792638503,0.000565633950279669,0.0103327388219536,0.00286176770051945,0.0451943698412459,0.010677301207018,"female","non-hispanic black"
"[30,35)",0.00437503586855249,0.000997811845213133,0.0137066497449665,0.00223536867498299,0,0,0.00905843666261355,0.00318639564591392,0.0316578154760775,0.00896591848524373,"male","non-hispanic black"
"[30,35)",0.00491273313898418,0.000368723791012643,0.0107836908458799,0.000505602604730263,0.000246614877759685,7.5563887923926e-05,0.0128330169156811,0.00138576861832117,0.0237413986018105,0.00311116231735048,"female","non-hispanic white"
"[30,35)",0.00517302904129336,0.000437010390176504,0.0104660341668492,0.00052265512551481,0.000148224874651761,5.73823697533431e-05,0.0114483556097241,0.00140677200219191,0.0234885105226104,0.00388588706673226,"male","non-hispanic white"
