"sex","race","x","name","value"
"all","all","[13,14)","dx_lost_mom_to_lost_both",0
"all","all","[13,14)","dx_lost_dad_to_lost_both",0
"all","all","[13,14)","ex_lost_none",33.7133216389566
"all","all","[13,14)","ex_lost_mom",3.05486202979361
"all","all","[13,14)","ex_lost_dad",8.80653211576237
"all","all","[13,14)","ex_lost_both",18.9599379316379
"all","all","[13,14)","ex",64.5346537161504
"all","all","[13,14)","lx_lost_mom",-0.634263512952495
"all","all","[13,14)","lx_lost_dad",940.812214448378
"all","all","[13,14)","lx_lost_both",219.77973578693
"all","all","[13,14)","lx_lost_none",98130.1585547327
"all","all","[14,15)","lx",99270.1171875
"all","all","[14,15)","dx",28.4849014282227
"all","all","[14,15)","Lx",99255.875
"all","all","[14,15)","pr_lost_none",0.970135665506269
"all","all","[14,15)","pr_lost_mom",0.0134309615518256
"all","all","[14,15)","pr_lost_dad",0.0164333729419057
"all","all","[14,15)","pr_lost_both",0
"all","all","[14,15)","mx_lost_none_to_lost_mom",0
"all","all","[14,15)","mx_lost_none_to_lost_dad",0
"all","all","[14,15)","mx_lost_none_to_lost_both",0
"all","all","[14,15)","mx_lost_dad_to_lost_both",0
"all","all","[14,15)","mx_lost_mom_to_lost_both",0
"all","all","[14,15)","Lx_lost_mom",1333.10184091781
"all","all","[14,15)","Lx_lost_dad",1631.10881055018
"all","all","[14,15)","Lx_lost_both",0
"all","all","[14,15)","Lx_lost_none",96291.664348532
"all","all","[14,15)","dx_lost_mom_to_dead",0.382579615890002
"all","all","[14,15)","dx_lost_dad_to_dead",0.468103008383407
"all","all","[14,15)","dx_lost_both_to_dead",0
"all","all","[14,15)","dx_lost_none_to_dead",27.6342188039493
"all","all","[14,15)","dx_lost_none_to_lost_mom",0
"all","all","[14,15)","dx_lost_none_to_lost_dad",0
"all","all","[14,15)","dx_lost_none_to_lost_both",0
"all","all","[14,15)","dx_lost_mom_to_lost_both",0
"all","all","[14,15)","dx_lost_dad_to_lost_both",0
"all","all","[14,15)","ex_lost_none",32.7465234670064
"all","all","[14,15)","ex_lost_mom",3.04858935405888
"all","all","[14,15)","ex_lost_dad",8.78867709420056
"all","all","[14,15)","ex_lost_both",18.9637548155133
"all","all","[14,15)","ex",63.5475447307791
"all","all","[14,15)","lx_lost_mom",-0.771869666966676
"all","all","[14,15)","lx_lost_dad",1131.94276482302
"all","all","[14,15)","lx_lost_both",219.77973578693
"all","all","[14,15)","lx_lost_none",97919.1849472125
