"race","sex","age","w","s_lost_none","s_lost_mom","s_lost_dad","s_lost_both","s_lost_none0","s_lost_mom0","s_lost_dad0","i_lost_none_to_lost_mom","i_lost_none_to_lost_dad","i_lost_dad_to_lost_both","i_lost_mom_to_lost_both","i_lost_none_to_lost_both"
"non-hispanic white","male",47,13389.842196,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic other","male",48,8667.8549108,0,0,1,0,1,0,1,0,1,0,0,0
"hispanic","male",15,8110.9468822,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",37,7307.8099983,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",38,7307.8099983,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",7,6076.0969655,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",37,10388.804736,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",15,7570.1588334,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","female",55,5673.9434906,0,0,1,0,1,0,1,0,1,0,0,0
"non-hispanic white","male",56,8704.526831,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",62,6390.2771369,0,0,0,1,1,1,1,0,0,1,1,1
"hispanic","male",71,6281.7377432,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","female",59,6287.3354474,0,0,0,1,1,1,1,0,0,1,1,1
"non-hispanic white","male",40,7820.9671755,1,0,0,0,1,0,0,0,0,0,0,0
"non-hispanic white","male",35,7522.1168992,1,0,0,0,1,0,0,0,0,0,0,0
